month,gcc_name_2021,dwelling_type,average_rent,median_rent,rent_25pc,rent_75pc
Sep 2016,Rest of NSW,T,386.3338607594937,370,310,450
Sep 2016,Rest of NSW,U,339.0234741784038,320,250,400
Oct 2016,Greater Sydney,F,565.3856165302562,530,430,650
Oct 2016,Greater Sydney,H,615.7987707108498,530,440,680
Oct 2016,Greater Sydney,O,409.03208556149735,380,301.5,474.75
Oct 2016,Greater Sydney,T,652.791346824843,600,470,760
Oct 2016,Greater Sydney,U,565.0642201834862,510,410,650
Oct 2016,Rest of NSW,F,287.59969167523127,270,215,340
Oct 2016,Rest of NSW,H,373.9138865126889,360,290,430
Oct 2016,Rest of NSW,O,290.12598425196853,260,180,357.5
Oct 2016,Rest of NSW,T,381.00178890876566,370,300,450
Oct 2016,Rest of NSW,U,340.2907608695652,330,258.75,400
Nov 2016,Greater Sydney,F,568.1307558061485,520,430,650
Nov 2016,Greater Sydney,H,625.2916666666666,530,430,686.25
Nov 2016,Greater Sydney,O,422.359477124183,390,300,500
Nov 2016,Greater Sydney,T,612.2717989002357,560,435,700
Nov 2016,Greater Sydney,U,566.6875664187035,500,400,630
Nov 2016,Rest of NSW,F,285.4177026355047,270,210,330
Nov 2016,Rest of NSW,H,373.33961770096886,350,290,430
Nov 2016,Rest of NSW,O,284.91975308641975,270,180,368.75
Nov 2016,Rest of NSW,T,388.51198630136986,370,315,450
Nov 2016,Rest of NSW,U,341.48166259168704,325,250,390
Dec 2016,Greater Sydney,F,563.8555496548062,520,420,645
Dec 2016,Greater Sydney,H,623.5071482317531,530,430,680
Dec 2016,Greater Sydney,O,409.80717488789236,382.5,330,468
Dec 2016,Greater Sydney,T,628.3546205860256,570,450,740
Dec 2016,Greater Sydney,U,541.1976549413736,490,395,600
Dec 2016,Rest of NSW,F,296.2656731757451,280,220,350
Dec 2016,Rest of NSW,H,383.66016260162604,360,300,450
Dec 2016,Rest of NSW,O,276.8867924528302,250,180,350
Dec 2016,Rest of NSW,T,382.68006430868166,370,311.25,435
Dec 2016,Rest of NSW,U,329.15738498789347,315,240,400
Jan 2017,Greater Sydney,F,559.3686537581948,520,430,640
Jan 2017,Greater Sydney,H,629.335625,550,440,700
Jan 2017,Greater Sydney,O,446.66265060240966,380,300,480
Jan 2017,Greater Sydney,T,640.3167128347184,580,450,750
Jan 2017,Greater Sydney,U,576.2616033755274,520,430,650
Jan 2017,Rest of NSW,F,288.998998998999,275,210,345
Jan 2017,Rest of NSW,H,380.97491232802804,370,300,440
Jan 2017,Rest of NSW,O,292.3245033112583,270,196.5,360
Jan 2017,Rest of NSW,T,393.36021505376345,382.5,320,450
Jan 2017,Rest of NSW,U,342.96638655462186,330,250,410
Feb 2017,Greater Sydney,F,570.2842881944445,530,440,650
Feb 2017,Greater Sydney,H,639.9375435337822,550,450,700
Feb 2017,Greater Sydney,O,422.8288934426229,429,350,450
Feb 2017,Greater Sydney,T,645.0994729907774,580,460,740
Feb 2017,Greater Sydney,U,541.1322795341098,484,385,600
Feb 2017,Rest of NSW,F,297.715060492282,280,220,350
Feb 2017,Rest of NSW,H,381.664297179546,365,300,450
Feb 2017,Rest of NSW,O,258.14932126696834,210,165,340
Feb 2017,Rest of NSW,T,382.041095890411,370,310,440
Feb 2017,Rest of NSW,U,344.579945799458,340,250,410
Mar 2017,Greater Sydney,F,569.8829553767374,530,435,650
Mar 2017,Greater Sydney,H,626.6099156118144,530,440,700
Mar 2017,Greater Sydney,O,422.8149100257069,417,350,461.5
Mar 2017,Greater Sydney,T,650.7079762689518,600,460,750
Mar 2017,Greater Sydney,U,555.2536443148688,510,400,620
Mar 2017,Rest of NSW,F,291.06369982547994,280,210,350
Mar 2017,Rest of NSW,H,381.51783685526016,360,300,440
Mar 2017,Rest of NSW,O,267.55982905982904,230,165,350
Mar 2017,Rest of NSW,T,392.13793103448273,375,320,450
Mar 2017,Rest of NSW,U,330.4600938967136,320,230,400
Apr 2017,Greater Sydney,F,579.6561875582789,540,440,660
Apr 2017,Greater Sydney,H,637.9229994967287,550,440,700
Apr 2017,Greater Sydney,O,419.8515151515152,400,311.25,480
Apr 2017,Greater Sydney,T,645.5974137931034,595,450,760
Apr 2017,Greater Sydney,U,569.0633802816901,500,410,650
Apr 2017,Rest of NSW,F,294.373348650201,280,220,340
Apr 2017,Rest of NSW,H,384.3601789709172,370,300,450
Apr 2017,Rest of NSW,O,333.4842767295597,330,195,395
Apr 2017,Rest of NSW,T,393.06021505376344,390,315,450
Apr 2017,Rest of NSW,U,332.1824561403509,330,250,400
May 2017,Greater Sydney,F,577.1057457922228,530,440,650
May 2017,Greater Sydney,H,633.8589611989324,540,440,700
May 2017,Greater Sydney,O,393.15819209039546,375,260,468.75
May 2017,Greater Sydney,T,629.7872807017544,570,440,730
May 2017,Greater Sydney,U,563.1954022988506,500,400,636.25
May 2017,Rest of NSW,F,297.7708798570791,280,220,350
May 2017,Rest of NSW,H,384.3295871559633,370,300,450
May 2017,Rest of NSW,O,313.94674556213016,295,200,390
May 2017,Rest of NSW,T,387.50165562913907,375,310,450
May 2017,Rest of NSW,U,339.14589665653494,330,250,400
Jun 2017,Greater Sydney,F,582.506509966586,550,440,665
Jun 2017,Greater Sydney,H,637.460843373494,550,440,702.5
Jun 2017,Greater Sydney,O,398.98724489795916,380,280,460
Jun 2017,Greater Sydney,T,641.9094457455113,580,450,750
Jun 2017,Greater Sydney,U,588.5555555555555,520,420,660
Jun 2017,Rest of NSW,F,302.1215261422515,280,220,350
Jun 2017,Rest of NSW,H,388.7017177344475,370,300,450
Jun 2017,Rest of NSW,O,311.7028985507246,320,190,390
Jun 2017,Rest of NSW,T,397.61996779388085,380,320,450
Jun 2017,Rest of NSW,U,344.74149659863946,330,260,400
Jul 2017,Greater Sydney,F,580.8862389430075,550,447,660
Jul 2017,Greater Sydney,H,628.4591101694915,550,440,700
Jul 2017,Greater Sydney,O,418.92321981424146,409,349,469
Jul 2017,Greater Sydney,T,633.1923397169026,580,450,725
Jul 2017,Greater Sydney,U,572.9507042253521,510,430,642.5
Jul 2017,Rest of NSW,F,293.77605428986914,280,220,350
Jul 2017,Rest of NSW,H,387.0377585377585,370,300,450
Jul 2017,Rest of NSW,O,306.60305343511453,300,200,372.5
Jul 2017,Rest of NSW,T,379.65593220338985,370,300,430
Jul 2017,Rest of NSW,U,351.18637992831543,340,255,410
Aug 2017,Greater Sydney,F,582.8612893369997,550,450,670
Aug 2017,Greater Sydney,H,628.0686572841385,547.5,450,700
Aug 2017,Greater Sydney,O,412.87808641975306,390,320,469
Aug 2017,Greater Sydney,T,633.1369356032568,575,450,750
Aug 2017,Greater Sydney,U,553.7573099415205,510,408.75,630
Aug 2017,Rest of NSW,F,299.91858237547893,285,220,350
Aug 2017,Rest of NSW,H,384.43751402288535,370,300,450
Aug 2017,Rest of NSW,O,281.66887417218544,260,188,350
Aug 2017,Rest of NSW,T,394.49617151607964,380,320,455
Aug 2017,Rest of NSW,U,312.5523465703971,310,230,380
Sep 2017,Greater Sydney,F,577.8787576261786,540,449,660
Sep 2017,Greater Sydney,H,642.3656097041924,550,450,700
Sep 2017,Greater Sydney,O,413.46985446985445,389,335,470
Sep 2017,Greater Sydney,T,627.774693877551,560,430,730
Sep 2017,Greater Sydney,U,574.3275862068965,500,420,650
Sep 2017,Rest of NSW,F,300.7550458715596,280,220,350
Sep 2017,Rest of NSW,H,389.1127575827738,370,300,450
Sep 2017,Rest of NSW,O,274.2515337423313,275,187.5,350
Sep 2017,Rest of NSW,T,400.6627318718381,380,330,460
Sep 2017,Rest of NSW,U,333.7528517110266,320,242.5,400
Oct 2017,Greater Sydney,F,576.4027654867257,540,450,660
Oct 2017,Greater Sydney,H,650.6647763074984,550,450,710
Oct 2017,Greater Sydney,O,416.344262295082,390,330,479
Oct 2017,Greater Sydney,T,639.757748776509,570,450,750
Oct 2017,Greater Sydney,U,568.206132879046,500,410,650
Oct 2017,Rest of NSW,F,306.6191396810053,290,225,360
Oct 2017,Rest of NSW,H,389.5686372745491,375,300,450
Oct 2017,Rest of NSW,O,273.93636363636364,242.5,170,353.75
Oct 2017,Rest of NSW,T,399.35483870967744,380,320,460
Oct 2017,Rest of NSW,U,343.37698412698415,330,250,395
Nov 2017,Greater Sydney,F,577.5344049322911,540,440,650
Nov 2017,Greater Sydney,H,640.6209364138213,550,450,700
Nov 2017,Greater Sydney,O,402.9726688102894,370,340,469
Nov 2017,Greater Sydney,T,628.4655448717949,560,450,720
Nov 2017,Greater Sydney,U,566.5319587628866,500,420,640
Nov 2017,Rest of NSW,F,296.92410714285717,280,215,350
Nov 2017,Rest of NSW,H,392.5660203139428,380,300,450
Nov 2017,Rest of NSW,O,265.5785714285714,250,170,360
Nov 2017,Rest of NSW,T,404.5894568690096,400,330,460
Nov 2017,Rest of NSW,U,322.8201438848921,320,240,380
Dec 2017,Greater Sydney,F,564.9533349045487,530,430,650
Dec 2017,Greater Sydney,H,648.2777158153023,550,450,700
Dec 2017,Greater Sydney,O,423.91442155309034,390,349,469
Dec 2017,Greater Sydney,T,635.9527491408935,570,450,721.25
Dec 2017,Greater Sydney,U,538.5802919708029,500,415,600
Dec 2017,Rest of NSW,F,305.52937976060934,285,220,359
Dec 2017,Rest of NSW,H,398.18239633681,380,310,460
Dec 2017,Rest of NSW,O,276.89403973509934,240,165,350
Dec 2017,Rest of NSW,T,410.493031358885,390,330,470
Dec 2017,Rest of NSW,U,333.14028776978415,320,251.5,395
Jan 2018,Greater Sydney,F,582.4911080711354,545,450,660
Jan 2018,Greater Sydney,H,655.8364837166932,550,450,725
Jan 2018,Greater Sydney,O,413.5844504021448,389.5,354,469
Jan 2018,Greater Sydney,T,648.1073298429319,590,450,750
Jan 2018,Greater Sydney,U,523.4105263157895,487.5,398.75,600
Jan 2018,Rest of NSW,F,309.60150730098917,295,225,370
Jan 2018,Rest of NSW,H,396.5888429752066,380,310,455
Jan 2018,Rest of NSW,O,281.9781420765027,260,175.5,360
Jan 2018,Rest of NSW,T,415.8481203007519,400,340,480
Jan 2018,Rest of NSW,U,346.05128205128204,340,260,400
Feb 2018,Greater Sydney,F,589.1733863510265,550,450,680
Feb 2018,Greater Sydney,H,650.538811056418,550,450,723.75
Feb 2018,Greater Sydney,O,441.6662125340599,422,365,478
Feb 2018,Greater Sydney,T,644.4790236460717,570,450,750
Feb 2018,Greater Sydney,U,551.0418943533698,509,420,640
Feb 2018,Rest of NSW,F,314.2504215851602,290,230,370
Feb 2018,Rest of NSW,H,397.2638888888889,380,310,460
Feb 2018,Rest of NSW,O,278.7922077922078,260,170,372.5
Feb 2018,Rest of NSW,T,418.2645429362881,400,350,480
Feb 2018,Rest of NSW,U,345.3125,320,260,400
Mar 2018,Greater Sydney,F,589.8520960904381,550,450,680
Mar 2018,Greater Sydney,H,643.9877300613497,550,450,700
